Column1,Method,NumSimulationScenario,Distribution,TravelCov,ScenarioCov,NewPatients,ActiveAides,TotalSolvingTime,AcceptedPatients,AllowedDelay,Overtime,AssignedServiceLevel/NumberStd,Scenario,ApproximationTCov,ApproximationSCov,AverageTotalLateness,AverageTotalOvertime,AverageRunLateness,AverageRunOvertime,MaximumTotalLateness,RealServiceLevel,MeanServiceLevel,MinServiceLevel,TotalAccpetedNewPatient,FractionOnTimeServedPatient,OnTimeNewPatient,OnTimeOldPatient,OnTimeTotalPatient,TotalScheduledPatient
0,EVT,10000,normal,0.25,0.1,14,8,120.896816,57,1,3,2.05,0,0.25,0.1,0.3018,0.0095,0.2153,0.0056,50,"[(30, 0.984), (31, 0.9826), (34, 0.9985), (35, 0.9711), (36, 0.9769), (43, 0.9673), (44, 0.9785), (46, 0.9984), (47, 0.9661), (48, 0.9646), (50, 0.9779), (52, 0.9701), (53, 1.0), (54, 0.9809), (56, 1.0), (57, 0.9943), (58, 0.9923), (59, 1.0)]",0.983527778,0.9646,11,0.722222222,8,5,13,18
1,EVT,10000,normal,0.25,0.1,18,8,985.854717,57,1,3,2.05,0,0.25,0.1,0.5251,0.0251,0.2361,0.0097,50,"[(30, 0.9872), (31, 0.9711), (32, 0.9791), (33, 0.9832), (34, 0.9985), (35, 1.0), (36, 0.9821), (42, 0.9895), (43, 0.9827), (44, 0.976), (45, 0.994), (47, 0.9947), (48, 0.9919), (49, 0.9916), (50, 0.9914), (52, 0.9567), (53, 0.9968), (54, 0.9798), (55, 0.9668), (56, 0.9718), (57, 0.964), (59, 1.0)]",0.984040909,0.9567,15,0.772727273,11,6,17,22
2,Deterministic ,10000,normal,0.25,0.1,14,8,52.91421008,59,1,3,0.98,0,0,0,29.9768,4.3003,0.9863,0.5307,186,"[(30, 0.3732), (31, 0.5042), (34, 0.9999), (35, 1.0), (36, 0.3879), (43, 0.6274), (44, 0.6375), (46, 0.3086), (47, 0.8771), (49, 0.8573999999999999), (50, 0.4959), (51, 0.5867), (52, 0.9513), (53, 0.8119000000000001), (54, 0.6421), (55, 0.5373), (56, 0.42579999999999996), (57, 0.6312), (58, 0.8828), (59, 0.7564)]",0.66473,0.3086,13,0.1,0,2,2,20
3,EVT,10000,normal,0.25,0.1,18,8,985.320888,57,1,3,2.05,0,0.25,0.1,0.5251,0.0251,0.2361,0.0097,50,"[(30, 0.9872), (31, 0.9711), (32, 0.9791), (33, 0.9832), (34, 0.9985), (35, 1.0), (36, 0.9821), (42, 0.9895), (43, 0.9827), (44, 0.976), (45, 0.994), (47, 0.9947), (48, 0.9919), (49, 0.9916), (50, 0.9914), (52, 0.9567), (53, 0.9968), (54, 0.9798), (55, 0.9668), (56, 0.9718), (57, 0.964), (59, 1.0)]",0.984040909,0.9567,15,0.772727273,11,6,17,22
4,Deterministic ,10000,normal,0.25,0.1,8,8,2.701425076,60,1,3,0.98,0,0,0,31.5914,1.8118,0.9889,0.3174,228,"[(30, 0.32709999999999995), (31, 0.5154000000000001), (34, 0.9999), (35, 1.0), (36, 0.5405), (43, 0.6278), (44, 0.6375), (47, 0.6533), (48, 1.0), (49, 0.29100000000000004), (50, 0.7402), (52, 0.9191), (53, 0.37570000000000003), (54, 0.4999), (55, 0.5904), (56, 0.42700000000000005), (57, 0.6965), (58, 0.48660000000000003), (59, 0.879)]",0.642468421,0.291,8,0.157894737,0,3,3,19
5,Deterministic ,10000,normal,0.25,0.1,8,8,2.809467077,60,1,3,0.98,0,0,0,31.5914,1.8118,0.9889,0.3174,228,"[(30, 0.32709999999999995), (31, 0.5154000000000001), (34, 0.9999), (35, 1.0), (36, 0.5405), (43, 0.6278), (44, 0.6375), (47, 0.6533), (48, 1.0), (49, 0.29100000000000004), (50, 0.7402), (52, 0.9191), (53, 0.37570000000000003), (54, 0.4999), (55, 0.5904), (56, 0.42700000000000005), (57, 0.6965), (58, 0.48660000000000003), (59, 0.879)]",0.642468421,0.291,8,0.157894737,0,3,3,19
6,EVT,10000,normal,0.25,0.1,10,8,38.48025012,58,1,3,2.05,0,0.25,0.1,0.2064,0.0015,0.1681,0.0016,40,"[(34, 0.9985), (35, 0.9711), (36, 0.9769), (43, 0.9673), (44, 0.9785), (50, 0.9937), (52, 0.9861), (53, 1.0), (54, 0.9697), (56, 0.9903), (57, 0.9943), (58, 0.9792), (59, 1.0)]",0.985046154,0.9673,8,0.769230769,7,3,10,13
7,Deterministic ,10000,normal,0.25,0.1,18,8,86.78047705,60,1,3,0.98,0,0,0,56.8511,7.4697,0.9992,0.5779,309,"[(30, 0.32120000000000004), (31, 0.5154000000000001), (32, 0.4495), (33, 0.5939), (34, 0.9999), (35, 1.0), (36, 0.3879), (37, 0.9877), (38, 0.9996), (39, 0.7021), (42, 0.45209999999999995), (43, 0.8093), (44, 0.5831999999999999), (45, 0.45209999999999995), (46, 0.6242), (47, 0.7152000000000001), (48, 0.3851), (49, 0.5506), (50, 0.44710000000000005), (51, 0.6274), (52, 0.4405), (53, 0.8779), (54, 0.493), (55, 0.5373), (56, 0.38160000000000005), (57, 0.6763), (58, 0.4937), (59, 0.8757)]",0.620696429,0.3212,18,0.142857143,0,4,4,28
8,EVT,10000,normal,0.25,0.1,16,8,229.1490061,58,1,3,2.05,0,0.25,0.1,0.4608,0.019,0.2503,0.0082,52,"[(30, 0.9844), (31, 0.9826), (32, 0.9791), (33, 0.9832), (34, 0.9985), (35, 0.9711), (36, 0.9769), (43, 0.9673), (45, 0.994), (46, 1.0), (47, 1.0), (48, 0.9646), (49, 0.9916), (50, 0.9929), (52, 0.9567), (53, 1.0), (54, 0.9697), (55, 0.9668), (56, 1.0), (57, 0.9943), (58, 0.9828), (59, 1.0)]",0.984386364,0.9567,14,0.727272727,10,6,16,22
9,Deterministic ,10000,normal,0.25,0.1,10,8,3.82436204,59,1,3,0.98,0,0,0,45.6285,3.836,0.9907,0.4106,289,"[(30, 0.29710000000000003), (31, 0.5154000000000001), (32, 0.4555), (33, 0.6049), (34, 0.9999), (35, 1.0), (36, 0.5105), (43, 0.6796), (44, 0.6375), (45, 0.881), (49, 0.3286), (50, 0.7402), (52, 0.3598), (53, 0.37570000000000003), (54, 0.4999), (55, 0.5014000000000001), (56, 1.0), (57, 0.9682), (58, 0.39580000000000004), (59, 0.6376999999999999)]",0.619435,0.2971,9,0.15,1,2,3,20
10,EVT,10000,normal,0.25,0.1,14,8,117.340183,57,1,3,2.05,0,0.25,0.1,0.3018,0.0095,0.2153,0.0056,50,"[(30, 0.984), (31, 0.9826), (34, 0.9985), (35, 0.9711), (36, 0.9769), (43, 0.9673), (44, 0.9785), (46, 0.9984), (47, 0.9661), (48, 0.9646), (50, 0.9779), (52, 0.9701), (53, 1.0), (54, 0.9809), (56, 1.0), (57, 0.9943), (58, 0.9923), (59, 1.0)]",0.983527778,0.9646,11,0.722222222,8,5,13,18
11,Deterministic ,10000,normal,0.25,0.1,10,8,3.54271102,59,1,3,0.98,0,0,0,45.6285,3.836,0.9907,0.4106,289,"[(30, 0.29710000000000003), (31, 0.5154000000000001), (32, 0.4555), (33, 0.6049), (34, 0.9999), (35, 1.0), (36, 0.5105), (43, 0.6796), (44, 0.6375), (45, 0.881), (49, 0.3286), (50, 0.7402), (52, 0.3598), (53, 0.37570000000000003), (54, 0.4999), (55, 0.5014000000000001), (56, 1.0), (57, 0.9682), (58, 0.39580000000000004), (59, 0.6376999999999999)]",0.619435,0.2971,9,0.15,1,2,3,20
12,EVT,10000,normal,0.25,0.1,12,8,45.98275304,58,1,3,2.05,0,0.25,0.1,0.333,0.0088,0.2028,0.0045,50,"[(30, 0.9839), (31, 0.9711), (34, 0.9985), (35, 1.0), (36, 0.9821), (43, 0.9673), (44, 0.9785), (47, 0.9661), (48, 0.9919), (49, 0.9916), (50, 0.9991), (52, 0.9701), (53, 0.9917), (54, 0.9809), (56, 0.9745), (57, 0.964), (58, 1.0), (59, 1.0)]",0.983961111,0.964,10,0.666666667,7,5,12,18
13,EVT,10000,normal,0.25,0.1,14,8,118.096848,57,1,3,2.05,0,0.25,0.1,0.3018,0.0095,0.2153,0.0056,50,"[(30, 0.984), (31, 0.9826), (34, 0.9985), (35, 0.9711), (36, 0.9769), (43, 0.9673), (44, 0.9785), (46, 0.9984), (47, 0.9661), (48, 0.9646), (50, 0.9779), (52, 0.9701), (53, 1.0), (54, 0.9809), (56, 1.0), (57, 0.9943), (58, 0.9923), (59, 1.0)]",0.983527778,0.9646,11,0.722222222,8,5,13,18
14,EVT,10000,normal,0.25,0.1,10,8,39.05680799,58,1,3,2.05,0,0.25,0.1,0.2064,0.0015,0.1681,0.0016,40,"[(34, 0.9985), (35, 0.9711), (36, 0.9769), (43, 0.9673), (44, 0.9785), (50, 0.9937), (52, 0.9861), (53, 1.0), (54, 0.9697), (56, 0.9903), (57, 0.9943), (58, 0.9792), (59, 1.0)]",0.985046154,0.9673,8,0.769230769,7,3,10,13
15,Deterministic ,10000,normal,0.25,0.1,14,8,54.76279211,59,1,3,0.98,0,0,0,29.9768,4.3003,0.9863,0.5307,186,"[(30, 0.3732), (31, 0.5042), (34, 0.9999), (35, 1.0), (36, 0.3879), (43, 0.6274), (44, 0.6375), (46, 0.3086), (47, 0.8771), (49, 0.8573999999999999), (50, 0.4959), (51, 0.5867), (52, 0.9513), (53, 0.8119000000000001), (54, 0.6421), (55, 0.5373), (56, 0.42579999999999996), (57, 0.6312), (58, 0.8828), (59, 0.7564)]",0.66473,0.3086,13,0.1,0,2,2,20
16,Deterministic ,10000,normal,0.25,0.1,12,8,5.846982956,59,1,3,0.98,0,0,0,28.4191,1.6078,0.9839,0.2878,208,"[(30, 0.29710000000000003), (31, 0.5154000000000001), (34, 0.9999), (35, 1.0), (36, 0.5156000000000001), (43, 0.6278), (44, 0.6375), (47, 0.6845), (48, 0.7534), (49, 0.3286), (50, 0.4937), (52, 0.9513), (53, 0.37570000000000003), (54, 0.9997), (55, 0.469), (56, 0.698), (57, 0.9682), (58, 0.5467), (59, 0.879)]",0.670584211,0.2971,11,0.157894737,1,2,3,19
17,Deterministic ,10000,normal,0.25,0.1,8,8,3.012222052,60,1,3,0.98,0,0,0,31.5914,1.8118,0.9889,0.3174,228,"[(30, 0.32709999999999995), (31, 0.5154000000000001), (34, 0.9999), (35, 1.0), (36, 0.5405), (43, 0.6278), (44, 0.6375), (47, 0.6533), (48, 1.0), (49, 0.29100000000000004), (50, 0.7402), (52, 0.9191), (53, 0.37570000000000003), (54, 0.4999), (55, 0.5904), (56, 0.42700000000000005), (57, 0.6965), (58, 0.48660000000000003), (59, 0.879)]",0.642468421,0.291,8,0.157894737,0,3,3,19
18,Deterministic ,10000,normal,0.25,0.1,8,8,2.646424055,60,1,3,0.98,0,0,0,31.5914,1.8118,0.9889,0.3174,228,"[(30, 0.32709999999999995), (31, 0.5154000000000001), (34, 0.9999), (35, 1.0), (36, 0.5405), (43, 0.6278), (44, 0.6375), (47, 0.6533), (48, 1.0), (49, 0.29100000000000004), (50, 0.7402), (52, 0.9191), (53, 0.37570000000000003), (54, 0.4999), (55, 0.5904), (56, 0.42700000000000005), (57, 0.6965), (58, 0.48660000000000003), (59, 0.879)]",0.642468421,0.291,8,0.157894737,0,3,3,19
19,Deterministic ,10000,normal,0.25,0.1,10,8,3.448044062,59,1,3,0.98,0,0,0,45.6285,3.836,0.9907,0.4106,289,"[(30, 0.29710000000000003), (31, 0.5154000000000001), (32, 0.4555), (33, 0.6049), (34, 0.9999), (35, 1.0), (36, 0.5105), (43, 0.6796), (44, 0.6375), (45, 0.881), (49, 0.3286), (50, 0.7402), (52, 0.3598), (53, 0.37570000000000003), (54, 0.4999), (55, 0.5014000000000001), (56, 1.0), (57, 0.9682), (58, 0.39580000000000004), (59, 0.6376999999999999)]",0.619435,0.2971,9,0.15,1,2,3,20
20,EVT,10000,normal,0.25,0.1,14,8,118.938688,57,1,3,2.05,0,0.25,0.1,0.3018,0.0095,0.2153,0.0056,50,"[(30, 0.984), (31, 0.9826), (34, 0.9985), (35, 0.9711), (36, 0.9769), (43, 0.9673), (44, 0.9785), (46, 0.9984), (47, 0.9661), (48, 0.9646), (50, 0.9779), (52, 0.9701), (53, 1.0), (54, 0.9809), (56, 1.0), (57, 0.9943), (58, 0.9923), (59, 1.0)]",0.983527778,0.9646,11,0.722222222,8,5,13,18
21,Deterministic ,10000,normal,0.25,0.1,18,8,88.81736207,60,1,3,0.98,0,0,0,56.8511,7.4697,0.9992,0.5779,309,"[(30, 0.32120000000000004), (31, 0.5154000000000001), (32, 0.4495), (33, 0.5939), (34, 0.9999), (35, 1.0), (36, 0.3879), (37, 0.9877), (38, 0.9996), (39, 0.7021), (42, 0.45209999999999995), (43, 0.8093), (44, 0.5831999999999999), (45, 0.45209999999999995), (46, 0.6242), (47, 0.7152000000000001), (48, 0.3851), (49, 0.5506), (50, 0.44710000000000005), (51, 0.6274), (52, 0.4405), (53, 0.8779), (54, 0.493), (55, 0.5373), (56, 0.38160000000000005), (57, 0.6763), (58, 0.4937), (59, 0.8757)]",0.620696429,0.3212,18,0.142857143,0,4,4,28
22,EVT,10000,normal,0.25,0.1,8,8,19.53603506,59,1,3,2.05,0,0.25,0.1,0.2064,0.0015,0.1681,0.0016,40,"[(34, 0.9985), (35, 0.9711), (36, 0.9769), (43, 0.9673), (44, 0.9785), (50, 0.9937), (52, 0.9861), (53, 1.0), (54, 0.9697), (56, 0.9903), (57, 0.9943), (58, 0.9792), (59, 1.0)]",0.985046154,0.9673,7,0.769230769,6,4,10,13
