Column1,Method,NumSimulationScenario,Distribution,TravelCov,ServiceCov,NewPatients,ActiveAides,TotalSolvingTime,AcceptedPatients,AllowedDelay,Overtime,AssignedServiceLevel/NumberStd,Scenario,ApproximationTCov,ApproximationSCov,AverageTotalLateness,AverageTotalOvertime,AverageRunLateness,AverageRunOvertime,MaximumTotalLateness,RealServiceLevel,MeanServiceLevel,MinServiceLevel,TotalAccpetedNewPatient,FractionOnTimeServedPatient,OnTimeNewPatient,OnTimeOldPatient,OnTimeTotalPatient,TotalScheduledPatient
0,Scenario,10000,normal,0.25,0.1,8,8,22.38454413,59,1,3,0.98,50,0,0,1.7394,0.195,0.2137,0.0318,75,"[(32, 0.9841), (33, 0.9836), (34, 0.9476), (35, 0.9788), (36, 0.9484), (43, 1.0), (44, 0.9763), (45, 0.9988), (50, 0.955), (52, 0.9686), (53, 1.0), (54, 1.0), (56, 0.99), (57, 1.0), (58, 0.9679), (59, 1.0)]",0.98119375,0.9476,7,0.6875,5,6,11,16
1,EVT,10000,normal,0.25,0.1,12,8,68.83843899,58,1,3,2.05,0,0.25,0.1,0.0539,0.0035,0.0985,0.0093,25,"[(30, 0.9855), (31, 0.9944), (34, 1.0), (35, 1.0), (36, 0.9964), (43, 0.9991), (44, 0.9919), (47, 0.9808), (48, 0.9986), (49, 0.9954), (50, 0.9865), (52, 0.9785), (53, 0.998), (54, 1.0), (56, 0.9971), (57, 0.9999), (58, 0.9999), (59, 0.9888)]",0.993933333,0.9785,10,1,10,8,18,18
2,Scenario,10000,normal,0.25,0.1,10,8,278.0234649,58,1,3,0.98,300,0,0,0.1746,0.0215,0.0368,0.0055,20,"[(34, 0.9997), (35, 0.9996), (36, 0.9993), (43, 1.0), (44, 1.0), (50, 1.0), (52, 0.9905), (53, 1.0), (54, 0.9964), (56, 0.9926), (57, 1.0), (58, 0.9812), (59, 1.0)]",0.996869231,0.9812,8,1,8,5,13,13
3,Scenario,10000,normal,0.25,0.1,12,8,1482.62952,57,1,3,0.98,500,0,0,0.3389,0.0672,0.0767,0.0125,30,"[(30, 0.9997), (31, 1.0), (34, 1.0), (35, 1.0), (36, 0.9997), (43, 1.0), (44, 0.9999), (47, 0.9928), (48, 1.0), (49, 1.0), (50, 0.9712), (52, 1.0), (53, 0.9905), (54, 0.9963), (56, 0.994), (57, 1.0), (58, 0.9799)]",0.995529412,0.9712,9,0.941176471,8,8,16,17
4,EVT,10000,normal,0.25,0.1,12,8,72.10865307,58,1,3,2.05,0,0.25,0.1,0.0539,0.0035,0.0985,0.0093,25,"[(30, 0.9855), (31, 0.9944), (34, 1.0), (35, 1.0), (36, 0.9964), (43, 0.9991), (44, 0.9919), (47, 0.9808), (48, 0.9986), (49, 0.9954), (50, 0.9865), (52, 0.9785), (53, 0.998), (54, 1.0), (56, 0.9971), (57, 0.9999), (58, 0.9999), (59, 0.9888)]",0.993933333,0.9785,10,1,10,8,18,18
5,Scenario,10000,normal,0.25,0.1,16,8,6427.140829,57,1,3,0.98,500,0,0,0.3743,0.1358,0.0819,0.0268,20,"[(30, 0.9997), (31, 1.0), (32, 0.9977), (33, 1.0), (34, 0.9986), (35, 1.0), (36, 0.9997), (43, 0.9949), (45, 1.0), (46, 0.9927), (47, 0.9928), (48, 1.0), (49, 1.0), (50, 0.9991), (52, 0.9819), (53, 0.9999), (54, 0.9748), (55, 1.0), (56, 0.9978), (57, 1.0), (58, 0.9839)]",0.995880952,0.9748,13,0.952380952,12,8,20,21
6,Scenario,10000,normal,0.25,0.1,14,8,1366.46037,58,1,3,0.98,100,0,0,0.5991,0.2219,0.1333,0.0428,30,"[(30, 0.9941), (31, 1.0), (34, 0.9964), (35, 1.0), (36, 1.0), (43, 1.0), (44, 0.9763), (46, 1.0), (47, 0.9928), (48, 0.9997), (49, 0.9984), (50, 0.9998), (52, 0.9617), (53, 0.9905), (54, 0.9737), (56, 0.9912), (57, 1.0), (58, 0.9799), (59, 1.0)]",0.992342105,0.9617,12,0.894736842,10,7,17,19
7,Scenario,10000,normal,0.25,0.1,10,8,131.9948881,57,1,3,0.98,100,0,0,0.2467,0.0384,0.066,0.0075,15,"[(30, 0.9983), (31, 0.9774), (34, 0.9997), (43, 1.0), (44, 0.9763), (49, 0.9798), (50, 1.0), (52, 1.0), (54, 0.9999), (56, 1.0), (57, 1.0), (58, 1.0), (59, 1.0)]",0.994723077,0.9763,7,1,7,6,13,13
8,EVT,10000,normal,0.25,0.1,12,8,71.31113601,58,1,3,2.05,0,0.25,0.1,0.0539,0.0035,0.0985,0.0093,25,"[(30, 0.9855), (31, 0.9944), (34, 1.0), (35, 1.0), (36, 0.9964), (43, 0.9991), (44, 0.9919), (47, 0.9808), (48, 0.9986), (49, 0.9954), (50, 0.9865), (52, 0.9785), (53, 0.998), (54, 1.0), (56, 0.9971), (57, 0.9999), (58, 0.9999), (59, 0.9888)]",0.993933333,0.9785,10,1,10,8,18,18
9,Scenario,10000,normal,0.25,0.1,8,8,22.07918286,59,1,3,0.98,50,0,0,1.7394,0.195,0.2137,0.0318,75,"[(32, 0.9841), (33, 0.9836), (34, 0.9476), (35, 0.9788), (36, 0.9484), (43, 1.0), (44, 0.9763), (45, 0.9988), (50, 0.955), (52, 0.9686), (53, 1.0), (54, 1.0), (56, 0.99), (57, 1.0), (58, 0.9679), (59, 1.0)]",0.98119375,0.9476,7,0.6875,5,6,11,16
