Column1,Method,NumSimulationScenario,Distribution,TravelCov,ScenarioCov,NewPatients,ActiveAides,TotalSolvingTime,AcceptedPatients,AllowedDelay,Overtime,AssignedServiceLevel/NumberStd,Scenario,ApproximationTCov,ApproximationSCov,AverageTotalLateness,AverageTotalOvertime,AverageRunLateness,AverageRunOvertime,MaximumTotalLateness,RealServiceLevel,MeanServiceLevel,MinServiceLevel,TotalAccpetedNewPatient,FractionOnTimeServedPatient,OnTimeNewPatient,OnTimeOldPatient,OnTimeTotalPatient,TotalScheduledPatient
0,EVT,10000,normal,0.25,0.1,20,20,257.9025261,60,1,3,2.05,0,0.25,0.1,0.1417,0.005,0.2223,0.0071,20,"[(3, 0.9934), (4, 0.999), (5, 1.0), (6, 1.0), (7, 0.9857), (11, 0.9981), (12, 0.9924), (15, 0.9935), (16, 0.9984), (19, 0.9802), (20, 0.9967), (30, 0.9965), (31, 0.9874), (32, 0.9843), (33, 0.982), (34, 1.0), (35, 1.0), (36, 0.9941), (40, 0.9935), (41, 0.995), (42, 0.9825), (43, 0.9947), (44, 0.992), (45, 1.0), (46, 0.9934), (47, 0.9983), (48, 0.9938), (49, 0.9899), (50, 0.9944), (51, 0.9965), (52, 0.983), (53, 0.9822), (54, 0.9866), (55, 1.0), (56, 0.9881), (57, 0.9987), (58, 0.9956), (59, 0.9929)]",0.992968421,0.9802,20,1,20,18,38,38
1,EVT,10000,normal,0.25,0.1,30,20,1106.766951,60,1,3,2.05,0,0.25,0.1,0.1392,0.0071,0.2467,0.0188,25,"[(3, 0.9866), (4, 0.999), (5, 1.0), (6, 0.9953), (7, 0.9941), (11, 0.9835), (12, 0.9888), (15, 0.9971), (16, 0.9984), (17, 0.9911), (18, 0.9966), (27, 0.9924), (28, 0.997), (29, 0.9959), (30, 0.9911), (31, 0.9817), (32, 0.9896), (33, 0.997), (34, 0.9999), (35, 0.9953), (36, 0.9791), (37, 1.0), (38, 1.0), (39, 0.9995), (40, 0.9849), (41, 0.9929), (42, 0.9978), (43, 0.9926), (44, 0.9986), (45, 0.9891), (46, 0.996), (47, 1.0), (48, 1.0), (49, 0.9873), (50, 0.9874), (51, 0.9923), (52, 0.9803), (53, 0.9949), (54, 0.9925), (55, 0.9949), (56, 0.9948), (57, 0.9987), (58, 0.9862), (59, 0.9866)]",0.993109091,0.9791,30,1,30,14,44,44
2,Deterministic ,10000,normal,0.25,0.1,35,20,68.07721806,60,1,3,0.98,0,0,0,46.6939,1.6824,1,0.3602,224,"[(0, 0.5565), (1, 0.8407), (2, 0.5045999999999999), (3, 0.49970000000000003), (4, 0.8260000000000001), (5, 1.0), (6, 1.0), (7, 0.5772999999999999), (8, 1.0), (9, 0.7351), (10, 1.0), (11, 0.4919), (12, 0.5395), (13, 0.6538999999999999), (14, 1.0), (17, 0.6038), (18, 0.751), (19, 0.5728), (20, 0.7455), (24, 1.0), (25, 0.9789), (26, 1.0), (27, 0.8854), (28, 0.7599), (29, 0.9769), (30, 0.794), (31, 0.7168), (32, 0.6064), (33, 0.7262), (34, 0.8982), (35, 1.0), (36, 0.47540000000000004), (37, 0.9926), (38, 0.8449), (39, 0.6279), (40, 0.9751), (41, 0.8385), (42, 0.5226999999999999), (43, 0.7103999999999999), (44, 1.0), (45, 0.6702), (46, 0.657), (47, 0.9754), (48, 0.8396), (49, 1.0), (50, 0.8361000000000001), (51, 0.6644), (52, 0.7733), (53, 0.8038), (54, 0.729), (55, 0.6960999999999999), (56, 0.7883), (57, 0.9756), (58, 0.4828), (59, 0.5845)]",0.776447273,0.4754,35,0.290909091,10,6,16,55
3,Deterministic ,10000,normal,0.25,0.1,30,20,97.06952095,60,1,3,0.98,0,0,0,39.0945,3.5815,1,0.6038,201,"[(0, 0.8689), (1, 0.9987), (2, 0.7196), (6, 1.0), (7, 1.0), (11, 0.6186), (12, 0.6991), (13, 0.5722), (14, 1.0), (15, 0.6521), (16, 0.9984), (17, 0.5702), (18, 0.751), (19, 0.5028), (20, 0.7455), (21, 0.6333), (22, 0.8351), (23, 0.5482), (30, 0.6014999999999999), (31, 0.6869000000000001), (32, 0.48360000000000003), (33, 0.8389), (34, 1.0), (35, 0.7451), (36, 1.0), (37, 0.5406), (38, 0.9045), (39, 1.0), (40, 0.6735), (41, 0.8333), (42, 0.6278), (43, 0.7475), (44, 1.0), (45, 0.9776), (46, 0.7473000000000001), (47, 0.7753), (48, 0.7657), (49, 0.8972), (50, 0.9998), (51, 0.7449), (52, 0.6198), (53, 0.7396), (54, 0.5659000000000001), (55, 0.7573), (56, 0.5574), (57, 1.0), (58, 0.49150000000000005), (59, 0.6874)]",0.765075,0.4836,30,0.25,7,5,12,48
4,Deterministic ,10000,normal,0.25,0.1,35,20,70.63204908,60,1,3,0.98,0,0,0,46.6939,1.6824,1,0.3602,224,"[(0, 0.5565), (1, 0.8407), (2, 0.5045999999999999), (3, 0.49970000000000003), (4, 0.8260000000000001), (5, 1.0), (6, 1.0), (7, 0.5772999999999999), (8, 1.0), (9, 0.7351), (10, 1.0), (11, 0.4919), (12, 0.5395), (13, 0.6538999999999999), (14, 1.0), (17, 0.6038), (18, 0.751), (19, 0.5728), (20, 0.7455), (24, 1.0), (25, 0.9789), (26, 1.0), (27, 0.8854), (28, 0.7599), (29, 0.9769), (30, 0.794), (31, 0.7168), (32, 0.6064), (33, 0.7262), (34, 0.8982), (35, 1.0), (36, 0.47540000000000004), (37, 0.9926), (38, 0.8449), (39, 0.6279), (40, 0.9751), (41, 0.8385), (42, 0.5226999999999999), (43, 0.7103999999999999), (44, 1.0), (45, 0.6702), (46, 0.657), (47, 0.9754), (48, 0.8396), (49, 1.0), (50, 0.8361000000000001), (51, 0.6644), (52, 0.7733), (53, 0.8038), (54, 0.729), (55, 0.6960999999999999), (56, 0.7883), (57, 0.9756), (58, 0.4828), (59, 0.5845)]",0.776447273,0.4754,35,0.290909091,10,6,16,55
5,Scenario,10000,normal,0.25,0.1,40,20,208.9908259,60,1,3,0.98,10,0,0,6.9264,0.1209,0.9896,0.1135,71,"[(0, 0.9478), (1, 0.9798), (2, 0.9314), (3, 1.0), (4, 0.999), (5, 1.0), (6, 1.0), (7, 0.9791), (11, 0.8261000000000001), (12, 0.9547), (13, 0.8466), (14, 0.8345), (15, 1.0), (16, 0.9984), (17, 0.6957), (18, 0.9075), (19, 0.9974), (20, 0.9938), (21, 0.8629), (22, 1.0), (23, 1.0), (24, 0.8492), (25, 0.9737), (26, 0.9758), (27, 0.9999), (28, 1.0), (29, 0.4497), (30, 0.9907), (31, 0.9905), (32, 0.9003), (33, 0.9142), (34, 0.9766), (35, 1.0), (36, 0.9803), (37, 0.9338), (38, 0.9085), (39, 0.9475), (40, 1.0), (41, 0.9748), (42, 0.8562), (43, 0.9083), (44, 0.9332), (45, 1.0), (46, 0.9507), (47, 0.49760000000000004), (48, 0.8061), (49, 0.9807), (50, 0.8046), (51, 0.9369), (52, 0.9842), (53, 0.9302), (54, 0.9455), (55, 0.8596), (56, 0.9052), (57, 0.9851), (58, 0.9099), (59, 1.0)]",0.924810526,0.4497,40,0.456140351,17,9,26,57
6,EVT,10000,normal,0.25,0.1,20,20,283.9859011,60,1,3,2.05,0,0.25,0.1,0.1417,0.005,0.2223,0.0071,20,"[(3, 0.9934), (4, 0.999), (5, 1.0), (6, 1.0), (7, 0.9857), (11, 0.9981), (12, 0.9924), (15, 0.9935), (16, 0.9984), (19, 0.9802), (20, 0.9967), (30, 0.9965), (31, 0.9874), (32, 0.9843), (33, 0.982), (34, 1.0), (35, 1.0), (36, 0.9941), (40, 0.9935), (41, 0.995), (42, 0.9825), (43, 0.9947), (44, 0.992), (45, 1.0), (46, 0.9934), (47, 0.9983), (48, 0.9938), (49, 0.9899), (50, 0.9944), (51, 0.9965), (52, 0.983), (53, 0.9822), (54, 0.9866), (55, 1.0), (56, 0.9881), (57, 0.9987), (58, 0.9956), (59, 0.9929)]",0.992968421,0.9802,20,1,20,18,38,38
7,EVT,10000,normal,0.25,0.1,25,20,455.8539569,60,1,3,2.05,0,0.25,0.1,0.1538,0.004,0.2397,0.0112,20,"[(0, 0.9867), (1, 0.9987), (2, 0.9928), (3, 0.991), (4, 0.999), (5, 1.0), (6, 1.0), (7, 0.9862), (11, 0.9946), (12, 0.9888), (15, 0.9955), (16, 0.998), (17, 0.9828), (18, 0.9966), (19, 0.9802), (20, 0.9967), (30, 0.984), (31, 0.9879), (34, 0.9848), (35, 0.9966), (36, 0.9943), (37, 0.9923), (38, 1.0), (39, 0.9948), (40, 0.9973), (41, 0.993), (42, 0.9874), (43, 0.999), (44, 1.0), (45, 0.983), (46, 0.9961), (47, 0.9959), (48, 0.9985), (49, 0.987), (50, 1.0), (51, 0.9912), (52, 0.983), (53, 1.0), (54, 0.9941), (55, 0.9901), (56, 0.9976), (57, 1.0), (58, 0.9939), (59, 1.0)]",0.993395455,0.9802,25,1,25,19,44,44
8,Scenario,10000,normal,0.25,0.1,25,20,80.98991013,60,1,3,0.98,10,0,0,2.1239,0.0128,0.8704,0.0081,46,"[(3, 0.9095), (4, 0.999), (5, 1.0), (6, 1.0), (7, 1.0), (11, 0.992), (12, 0.9547), (15, 0.9571), (16, 0.9984), (19, 0.9468), (20, 0.9761), (30, 0.9988), (31, 0.9627), (32, 0.8859), (33, 0.9142), (34, 1.0), (35, 1.0), (36, 0.9991), (37, 0.9651), (38, 1.0), (39, 0.9563), (40, 0.991), (41, 0.7545), (42, 0.951), (43, 0.9083), (44, 0.9438), (45, 0.777), (46, 0.9626), (47, 0.9762), (48, 0.7847), (49, 0.9776), (50, 0.9775), (51, 0.9472), (52, 0.9757), (53, 0.9295), (54, 0.9313), (55, 0.9774), (56, 0.953), (57, 0.9987), (58, 0.9785), (59, 0.7626)]",0.948141463,0.7545,25,0.487804878,11,9,20,41
9,Scenario,10000,normal,0.25,0.1,20,20,159.853147,60,1,3,0.98,10,0,0,4.4415,0.0669,0.9665,0.1658,50,"[(6, 1.0), (7, 0.927), (11, 0.8261000000000001), (12, 0.9547), (15, 0.9922), (16, 0.9725), (17, 0.9567), (18, 0.9075), (19, 0.9426), (20, 0.9761), (24, 0.9946), (25, 1.0), (26, 0.949), (30, 0.9988), (31, 0.9627), (32, 0.7149), (33, 0.49639999999999995), (34, 1.0), (35, 1.0), (36, 0.9253), (40, 0.9555), (41, 0.948), (42, 0.8787), (43, 0.7784), (44, 0.997), (45, 0.49929999999999997), (46, 1.0), (47, 0.9762), (48, 0.9938), (49, 0.7794), (50, 0.9436), (51, 0.9369), (52, 0.9576), (53, 0.9302), (54, 0.9637), (55, 0.9559), (56, 0.9992), (57, 0.9987), (58, 0.7337), (59, 0.7904)]",0.9128325,0.4964,20,0.35,6,8,14,40
