Column1,Method,NumSimulationScenario,Distribution,TravelCov,ServiceCov,NewPatients,ActiveAides,TotalSolvingTime,AcceptedPatients,AllowedDelay,Overtime,AssignedServiceLevel/NumberStd,Scenario,ApproximationTCov,ApproximationSCov,AverageTotalLateness,AverageTotalOvertime,AverageRunLateness,AverageRunOvertime,MaximumTotalLateness,RealServiceLevel,MeanServiceLevel,MinServiceLevel,TotalAccpetedNewPatient,FractionOnTimeServedPatient,OnTimeNewPatient,OnTimeOldPatient,OnTimeTotalPatient,TotalScheduledPatient
0,EVT,10000,normal,0.25,0.1,14,8,187.876169,59,1,3,1.64,0,0.25,0.1,0.3024,0.0231,0.2916,0.0265,50,"[(30, 0.9872), (31, 0.9695), (34, 0.9848), (35, 1.0), (36, 0.9476), (43, 0.9786), (44, 0.9919), (46, 1.0), (47, 0.9759), (48, 0.9986), (49, 0.9954), (50, 0.953), (52, 0.9999), (53, 0.9875), (54, 0.9527), (55, 0.9698), (56, 0.9826), (57, 0.9786), (58, 0.9671), (59, 1.0)]",0.981035,0.9476,13,1,13,7,20,20
1,EVT,10000,shifted-gamma,0.1,0.1,14,8,77.34879899,59,3,6,2.05,0,0.1,0.1,0.1176,0,0.1251,0.0003,25,"[(30, 0.965), (31, 0.9937), (34, 1.0), (35, 1.0), (36, 0.9716), (43, 0.9985), (44, 0.9999), (46, 0.9698), (47, 1.0), (49, 0.9957), (50, 0.9934), (51, 0.9996), (52, 1.0), (53, 0.9838), (54, 0.9998), (55, 0.9869), (56, 0.9737), (57, 1.0), (58, 1.0), (59, 0.9931)]",0.991225,0.965,13,0.8,11,5,16,20
2,Scenario,10000,normal,0.1,0.1,18,8,2207.787554,59,1,3,0.98,100,0,0,0.3275,0.2167,0.0863,0.0422,15,"[(30, 0.9925), (31, 1.0), (32, 0.9953), (33, 1.0), (34, 0.9999), (35, 1.0), (36, 1.0), (42, 0.9999), (43, 1.0), (44, 1.0), (45, 0.9953), (46, 0.998), (47, 0.9938), (48, 0.9974), (49, 1.0), (50, 0.9745), (52, 0.9948), (53, 1.0), (54, 0.9803), (55, 1.0), (56, 1.0), (57, 0.9834), (58, 0.9988), (59, 1.0)]",0.995995833,0.9745,17,0.958333333,16,7,23,24
3,Scenario,10000,normal,0.5,0.1,8,8,72.36634803,57,1,3,0.98,100,0,0,0.6061,0.1013,0.0758,0.0185,65,"[(34, 0.9994), (43, 1.0), (44, 0.9621), (50, 0.9837), (52, 1.0), (54, 0.9972), (56, 0.9897), (57, 1.0), (58, 0.9829)]",0.990555556,0.9621,5,0.888888889,5,3,8,9
4,Scenario,10000,normal,0.1,0.1,12,8,44.77744293,59,1,3,0.98,10,0,0,3.0584,0.0039,0.4963,0.001,37,"[(30, 0.974), (31, 0.9184), (34, 1.0), (35, 0.9271), (36, 0.9907), (43, 0.8927), (44, 0.9989), (47, 0.8953), (48, 1.0), (49, 1.0), (50, 0.992), (52, 0.9275), (53, 0.9323), (54, 0.9819), (55, 1.0), (56, 0.954), (57, 0.9938), (58, 0.8925), (59, 0.9811)]",0.960642105,0.8925,11,0.526315789,7,3,10,19
5,Deterministic ,10000,shifted-gamma,0.1,0.1,18,8,149.4770851,60,3,6,0.95,0,0,0,0.3437,0.0005,0.2895,0.0008,25,"[(30, 0.9623), (31, 0.9937), (32, 0.9804), (33, 0.998), (34, 1.0), (35, 1.0), (36, 0.9716), (37, 1.0), (38, 1.0), (39, 0.9918), (42, 0.9227), (43, 1.0), (44, 0.9992), (45, 0.9794), (46, 0.991), (47, 0.9923), (48, 0.9839), (49, 0.9718), (50, 0.9789), (51, 0.9999), (52, 0.9689), (53, 1.0), (54, 0.971), (55, 0.9869), (56, 0.9547), (57, 0.999), (58, 0.982), (59, 1.0)]",0.984978571,0.9227,18,0.964285714,17,10,27,28
6,Scenario,10000,shifted-gamma,0.25,0.1,8,8,310.0558639,58,1,3,0.98,300,0,0,0.4878,0.1862,0.08,0.0349,65,"[(34, 0.9939), (43, 1.0), (44, 0.9866), (50, 0.9998), (52, 1.0), (54, 0.9864), (56, 0.9666), (57, 1.0), (58, 0.9864), (59, 1.0)]",0.99197,0.9666,6,0.9,5,4,9,10
7,EVT,10000,normal,0.1,0.1,16,8,139.391675,60,2,4,1.64,0,0.1,0.1,0.0939,0.0069,0.2106,0.0111,30,"[(30, 0.9779), (31, 0.963), (32, 0.9835), (33, 0.9782), (34, 0.9832), (35, 1.0), (36, 0.9851), (37, 0.9777), (38, 1.0), (39, 0.9945), (43, 1.0), (44, 0.998), (45, 1.0), (46, 1.0), (47, 1.0), (48, 0.9859), (49, 0.9737), (50, 0.9884), (51, 0.9999), (52, 0.9998), (53, 1.0), (54, 0.9829), (55, 0.9932), (56, 0.9782), (57, 0.9865), (58, 0.999), (59, 1.0)]",0.989948148,0.963,16,1,16,11,27,27
8,Scenario,10000,shifted-gamma,0.25,0.1,10,8,371.0628929,57,1,3,0.98,300,0,0,0.6299,0.0865,0.0778,0.0163,70,"[(34, 0.9998), (43, 1.0), (44, 0.9866), (50, 0.9829), (52, 0.9954), (54, 0.9858), (56, 1.0), (57, 1.0), (58, 0.9617), (59, 1.0)]",0.99122,0.9617,7,0.9,6,3,9,10
9,EVT,10000,normal,0.1,0.1,10,8,6.480867147,59,2,4,1.64,0,0.1,0.1,0.1083,0,0.1874,0.0001,20,"[(30, 1.0), (31, 0.9848), (32, 0.9739), (33, 0.9975), (34, 0.9851), (35, 1.0), (36, 0.9881), (43, 1.0), (44, 1.0), (45, 1.0), (49, 0.952), (50, 0.9978), (52, 0.9926), (53, 1.0), (54, 0.9664), (55, 0.9932), (56, 0.9732), (57, 1.0), (58, 0.9939), (59, 0.9786)]",0.988855,0.952,9,1,9,11,20,20
